"Data Source","World Development Indicators",

"Last Updated Date","2025-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Bosnia and Herzegovina","BIH","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.8860927318636","21.6899552066421","21.3942700368894","20.3021134980364","18.9462859840219","19.685676403117","20.3056652821355","20.4775399413527","19.751544642443","19.777901772831","19.7000100398431","19.7137455722415","19.9876498649","20.1410225354777","19.8265971899192","18.7506447293439","19.0981491977883","19.0910598727413","19.0586852930407","",
"Belarus","BLR","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.5434782608696","26.6395939086294","24.7501826561007","19.8876469280001","18.7997748111698","20.7345909549383","17.1123289388046","16.6724761934976","16.6247345026167","15.7546642442876","14.2010383230738","17.6881219095961","18.3713469008917","20.1496562779039","22.2230966228065","23.7266987288672","25.3533892055523","18.6294706290955","16.321438373621","14.5090725642403","14.6629750334495","13.3549628478795","12.6977245264198","14.1730944654204","13.7882356123814","13.0190056104974","14.6725689698389","13.3015061393462","12.0229232594937","12.8250049647951","11.2335456198223","12.7010633447646","",
"Belize","BLZ","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.1597368180572","15.4255568581477","14.8386355475763","14.5175001660357","14.9793474038586","14.1987058177156","14.7286830816243","14.7248683306618","14.6014523937601","12.7474631342164","13.0247168320309","13.9030951568895","14.460330213313","14.5081748032699","14.8487346967912","16.0936302925523","16.6681016874588","17.3295061800715","17.0785841624015","17.8005922416346","18.8848026579596","18.3662735009989","18.4367889609301","18.4937251528717","19.8624877918859","19.7061148432548","20.638172688376","21.3441343070203","","","","","","","",
"Bermuda","BMU","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","8.25811409262511","8.01995452889205","7.94905256695826","7.28055147595597","7.09474320469439","7.23622459330852","7.93272957509908","8.89978861639267","9.51634540053983","10.0454684272089","9.72232949409585","12.2938525238754","12.6203460249816","13.5465291507295","12.0397851865925","12.3308028811412","11.7825460461138","13.1841049760332","12.9730003183325","15.0163488014671","16.2151641027597","16.8161681623874","16.9648657379261","","","","","","","","","","","","","","","","","",
"Brazil","BRA","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.249575957302","14.85129878353","14.3324110913977","14.1253057440862","13.4900745188201","13.6296293660896","13.7104309800754","13.6052285149994","13.9401079937096","13.7376948371937","12.7193878561953","14.1366751329603","14.7258479184963","14.041862416944","",
"Barbados","BRB","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.2434179778782","25.7744229931775","26.7347427673779","25.2857244398189","25.9499389934439","25.4000671111602","24.7074140343927","21.5653072798262","22.6267156326594","21.4013747952932","20.1269697247424","20.5823001989554","22.6401414394538","24.9116801229993","","","","","","","","",
"Brunei Darussalam","BRN","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bhutan","BTN","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","5.72036429409445","6.63490069992768","7.60358124617063","6.72879359981909","7.1119929270911","","6.22493994439051","5.41139381452257","4.60005636623578","5.15290674353183","5.27110995217359","6.48847259207354","6.19493563212013","6.89825503766094","7.85249702894329","6.79327260704803","8.31144869899844","7.36250647127559","9.54839427433829","8.18849908664852","8.88044240255123","8.93520956577544","7.34197987914533","7.9437825068602","8.59855405734501","7.16212410171711","8.03787521608618","8.77362894561627","12.1941395950822","12.4317424995474","13.5887280698338","13.302594742707","12.5052991179472","12.1453454228689","11.8864300679607","11.8591944993995","15.8040236388622","14.4975527173232","12.2846363802964","","","","",
"Botswana","BWA","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.5016129375315","25.557193488693","27.8455400724745","23.6847992198649","19.9167439175835","16.7657958548749","14.9371078939367","","","","","","","","","","27.5264402404069","26.6174562731084","27.9208998753179","27.6868140219818","23.8833642056949","24.0453261607064","28.0365776616041","26.7403906303594","27.0928299660417","26.3110988512498","21.6300553227647","23.9334963141963","21.740494569157","21.0985509979513","22.2747050284764","22.2304202240196","19.6495295048765","18.7133278342197","22.489731082584",
